Tape location:,*Northing(m),*Easting(m),Elevation(m),Notes
0.7,0.08,8.35,-1.629,
1.0,0.379,8.328,-1.639,
1.5,0.87,8.196,-1.745,
2.0,1.376,8.137,-1.842,
2.5,1.885,7.996,-1.992,
2.9,2.256,7.962,-2.192,LEW
3.0,2.36,7.93,-2.23,
3.27,2.636,7.848000000000001,-2.444,
3.5,2.825,7.779999999999999,-2.528,
4.0,3.317,7.714,-2.581,
4.5,3.873,7.683,-2.589,
5.0,4.4,7.654,-2.621,
5.5,4.879,7.538,-2.715,
6.0,5.33,7.407,-2.74,
6.5,5.823,7.305999999999999,-2.735,
7.0,6.3,7.2379999999999995,-2.645,
7.32,6.635,7.17,-2.647,
7.5,6.793,7.1419999999999995,-2.648,
8.0,7.309,6.9559999999999995,-2.66,
8.5,7.753,6.938000000000001,-2.719,
9.0,8.247,6.724,-2.636,
9.5,8.752,6.5920000000000005,-2.591,
10.0,9.26,6.513999999999999,-2.535,
10.5,9.72,6.452,-2.572,
10.84,10.063,6.394,-2.515,
11.14,10.342,6.375,-2.462,
11.33,10.525,6.313,-2.283,
11.55,10.726,6.23,-2.27,
11.91,11.083,6.124,-2.233,
11.98,11.139,6.084,-2.18,
12.38,11.517,5.925,-2.071,
12.69,11.84,5.841,-1.822,
13.1,12.233,5.711,-1.785,
13.43,12.528,5.696,-1.638,
